Rank,Percentile,compound loc,City,State,CS,Population,Average weekly hours worked,average travel time to work in minutes,Median gross rent as a percentage of monthly income,percentage of population with health insurance coverage,Percentage of residents whoe income in the last 12 months was below the poverty level,Unemployment Rate ,Score,lat,lon
119,32.80%,"Long Beach, California",Long Beach,CA,"Long Beach, CA","470,140",38.1,30.7,45.30%,91.40%,14.00%,6.80%,59.86,33.7669444,-118.1883333
138,22.00%,"Anaheim, California",Anaheim,CA,"Anaheim, CA","351,066",37.4,29.4,62.30%,88.80%,11.10%,5.70%,57.94,33.8352778,-117.9136111
165,6.80%,"Moreno Valley, California",Moreno Valley,CA,"Moreno Valley, CA","205,516",37.4,35.8,53.80%,89.70%,13.80%,9.20%,51.65,33.9375,-117.2297222
156,11.90%,"Los Angeles, California",Los Angeles,CA,"Los Angeles, CA","3,976,324",38,31.7,54.50%,88.70%,15.30%,6.70%,54.13,34.0522222,-118.2427778
25,85.90%,"Fremont, California",Fremont,CA,"Fremont, CA","233,145",38.8,33.9,41.70%,98.30%,1.60%,3.20%,72.95,37.5483333,-121.9875
150,15.30%,"Lancaster, California",Lancaster,CA,"Lancaster, CA","160,107",38.8,33.3,39.60%,92.70%,20.80%,6.50%,55.93,34.6980556,-118.1358333
97,45.20%,"Bakersfield, California",Bakersfield,CA,"Bakersfield, CA","376,371",38.8,21.9,39.60%,93.00%,15.90%,8.80%,63.16,35.3733333,-119.0177778
31,82.50%,"Irvine, California",Irvine,CA,"Irvine, CA","266,117",37.7,24.7,49.60%,97.30%,5.70%,5.90%,72.37,33.6694444,-117.8222222
57,67.80%,"Huntington Beach, California",Huntington Beach,CA,"Huntington Beach, CA","200,631",38.3,30.1,50.80%,94.00%,5.00%,4.00%,67.92,33.6602778,-117.9983333
109,38.40%,"Santa Clarita, California",Santa Clarita,CA,"Santa Clarita, CA","181,960",39,35.5,50.80%,94.10%,3.80%,5.80%,61.55,34.3916667,-118.5416667
134,24.30%,"Stockton, California",Stockton,CA,"Stockton, CA","307,057",37.8,30.6,40.40%,93.90%,14.20%,11.40%,58.18,37.9577778,-121.2897222
161,9.00%,"Santa Ana, California",Santa Ana,CA,"Santa Ana, CA","334,236",37.3,24.6,71.40%,83.40%,14.30%,5.70%,53.01,33.7455556,-117.8669444
28,84.20%,"Sunnyvale, California",Sunnyvale,CA,"Sunnyvale, CA","152,762",39.9,24.2,39.20%,96.90%,5.10%,4.60%,72.83,37.3688889,-122.0352778
45,74.60%,"Santa Rosa, California",Santa Rosa,CA,"Santa Rosa, CA","175,143",37.9,23,55.50%,93.50%,5.60%,5.00%,69.83,38.4405556,-122.7133333
158,10.70%,"Oxnard, California",Oxnard,CA,"Oxnard, CA","207,911",38.3,24.8,65.80%,81.50%,11.00%,5.50%,53.43,34.1975,-119.1761111
167,5.60%,"Palmdale, California",Palmdale,CA,"Palmdale, CA","157,349",37.8,43.2,42.30%,91.90%,16.20%,8.60%,50.73,34.5794444,-118.1155556
174,1.70%,"Pomona, California",Pomona,CA,"Pomona, CA","152,476",36.4,29.8,73.20%,84.90%,17.10%,8.50%,47.19,34.0552778,-117.7513889
76,57.10%,"Hayward, California",Hayward,CA,"Hayward, CA","158,969",37,33.4,55.50%,95.40%,8.40%,3.90%,66.32,37.6688889,-122.0797222
100,43.50%,"Garden Grove, California",Garden Grove,CA,"Garden Grove, CA","174,877",37.1,29.1,59.60%,91.40%,9.80%,4.80%,63.1,33.7738889,-117.9405556
120,32.20%,"Fresno, California",Fresno,CA,"Fresno, CA","522,021",37.3,21.2,42.20%,92.30%,24.50%,9.70%,59.81,36.7477778,-119.7713889
123,30.50%,"Fontana, California",Fontana,CA,"Fontana, CA","209,659",37.7,33.3,47.50%,90.30%,10.60%,6.90%,59.57,34.0922222,-117.4341667
